Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Arr_Time_Min,Arr_Time_Hour,Dep_Time_Hour,Dep_Time_Min,Day_of_Journey,Month_of_Journey
Jet Airways,Kolkata,Banglore,365,1,No info,14781,35,22.0,16,30,6,5
Jet Airways,Delhi,Cochin,655,1,No info,12557,25,4.0,17,30,21,3
Multiple carriers,Delhi,Cochin,845,1,No info,13875,50,18.0,4,45,6,3
Jet Airways,Delhi,Cochin,1130,2,In-flight meal not included,11507,25,4.0,9,35,15,6
Air India,Kolkata,Banglore,150,0,No info,5510,45,16.0,14,15,18,6
GoAir,Kolkata,Banglore,460,1,No info,10198,5,0.0,16,25,24,3
Jet Airways,Kolkata,Banglore,435,1,No info,8355,35,17.0,10,20,12,6
Jet Airways,Banglore,Delhi,185,0,No info,8016,0,22.0,18,55,1,6
IndiGo,Delhi,Cochin,625,1,No info,6314,0,21.0,10,35,27,5
Air India,Delhi,Cochin,170,0,No info,5831,0,8.0,5,10,9,3
Jet Airways,Delhi,Cochin,550,1,In-flight meal not included,10262,25,4.0,19,15,24,6
Multiple carriers,Delhi,Cochin,700,1,In-flight meal not included,15136,35,1.0,13,55,6,3
Jet Airways,Banglore,New Delhi,830,1,In-flight meal not included,7832,25,10.0,20,35,21,3
SpiceJet,Chennai,Kolkata,135,0,No info,3859,35,10.0,8,20,24,3
IndiGo,Kolkata,Banglore,150,0,No info,4174,45,17.0,15,15,6,4
Jet Airways,Banglore,New Delhi,340,1,No info,19225,25,11.0,5,45,6,3
IndiGo,Delhi,Cochin,975,1,No info,10518,0,21.0,4,45,9,3
IndiGo,Banglore,Delhi,175,0,No info,4823,5,10.0,7,10,6,4
Air India,Banglore,New Delhi,165,0,No info,7276,45,12.0,10,0,24,3
Multiple carriers,Delhi,Cochin,540,1,No info,12192,0,19.0,10,0,9,6
Air Asia,Delhi,Cochin,865,1,No info,11410,10,7.0,16,45,1,6
Air India,Kolkata,Banglore,920,2,No info,13033,20,1.0,10,0,21,5
Jet Airways,Banglore,New Delhi,570,1,No info,26890,15,15.0,5,45,1,3
IndiGo,Kolkata,Banglore,150,0,No info,4804,45,17.0,15,15,27,6
Jet Airways,Kolkata,Banglore,1550,1,In-flight meal not included,10844,45,20.0,18,55,15,5
Air India,Delhi,Cochin,1820,2,No info,12436,15,19.0,12,55,12,6
IndiGo,Banglore,Delhi,175,0,No info,4823,5,10.0,7,10,21,6
IndiGo,Mumbai,Hyderabad,90,0,No info,2227,50,22.0,21,20,3,6
Jet Airways,Delhi,Cochin,940,1,In-flight meal not included,10262,35,12.0,20,55,1,6
Jet Airways,Delhi,Cochin,1225,1,No info,17024,25,4.0,8,0,3,3
Jet Airways,Delhi,Cochin,1325,2,In-flight meal not included,9296,25,4.0,6,20,27,3
Air India,Delhi,Cochin,185,0,No info,6094,10,21.0,18,5,6,6
Jet Airways,Kolkata,Banglore,1215,1,In-flight meal not included,8586,40,4.0,8,25,9,6
Jet Airways,Delhi,Cochin,1300,2,In-flight meal not included,10919,25,4.0,6,45,15,6
GoAir,Kolkata,Banglore,455,1,No info,9495,15,0.0,16,40,9,6
Jet Airways,Delhi,Cochin,395,1,No info,14714,25,4.0,21,50,12,6
Air India,Delhi,Cochin,180,0,No info,5201,10,17.0,14,10,24,6
Air India,Delhi,Cochin,1420,2,No info,7090,25,9.0,9,45,27,3
IndiGo,Mumbai,Hyderabad,90,0,No info,4575,40,10.0,9,10,15,5
Multiple carriers,Delhi,Cochin,545,1,No info,9646,10,16.0,7,5,15,5
IndiGo,Delhi,Cochin,325,1,No info,5636,25,7.0,2,0,12,6
Multiple carriers,Delhi,Cochin,545,1,No info,9646,10,16.0,7,5,15,6
Jet Airways,Mumbai,Hyderabad,90,0,In-flight meal not included,4050,10,21.0,19,40,9,3
Jet Airways,Delhi,Cochin,1270,1,No info,14714,0,19.0,21,50,9,6
IndiGo,Kolkata,Banglore,150,0,No info,4804,45,17.0,15,15,18,6
Jet Airways,Delhi,Cochin,1485,1,In-flight meal not included,10577,0,19.0,18,15,9,6
GoAir,Banglore,Delhi,165,0,No info,3898,40,23.0,20,55,15,6
Jet Airways,Kolkata,Banglore,960,1,No info,14571,0,12.0,20,0,6,6
Jet Airways,Delhi,Cochin,1300,2,In-flight meal not included,10919,25,4.0,6,45,15,6
Jet Airways,Banglore,Delhi,165,0,No info,8016,45,8.0,6,0,18,6
IndiGo,Delhi,Cochin,425,1,No info,6287,0,12.0,4,55,21,3
Air India,Kolkata,Banglore,905,1,No info,8366,55,7.0,16,50,6,6
Jet Airways,Delhi,Cochin,440,1,In-flight meal not included,15400,50,18.0,11,30,6,3
Vistara,Banglore,New Delhi,160,0,No info,8553,20,22.0,19,40,3,3
SpiceJet,Kolkata,Banglore,155,0,No check-in baggage included,3841,30,9.0,6,55,9,4
Air India,Delhi,Cochin,1545,2,No info,10021,40,7.0,5,55,9,4
SpiceJet,Chennai,Kolkata,140,0,No info,3597,5,20.0,17,45,24,6
IndiGo,Chennai,Kolkata,145,0,No info,4332,0,14.0,11,35,24,5
GoAir,Banglore,Delhi,165,0,No info,3898,40,23.0,20,55,21,6
Jet Airways,Mumbai,Hyderabad,1665,2,No info,21375,50,16.0,13,5,6,3
Vistara,Kolkata,Banglore,975,1,No info,8610,25,23.0,7,10,6,6
IndiGo,Kolkata,Banglore,155,0,No info,4804,50,19.0,17,15,15,6
Air India,Delhi,Cochin,1730,2,No info,13591,15,19.0,14,25,1,6
Jet Airways,Kolkata,Banglore,590,1,No info,14781,20,16.0,6,30,6,5
Jet Airways,Banglore,New Delhi,315,1,In-flight meal not included,9134,15,13.0,8,0,15,3
Air India,Delhi,Cochin,1545,2,No info,10493,40,7.0,5,55,9,6
Jet Airways,Banglore,New Delhi,1280,1,In-flight meal not included,8147,0,9.0,11,40,24,3
SpiceJet,Kolkata,Banglore,140,0,No info,3873,40,0.0,22,20,21,6
Jet Airways,Kolkata,Banglore,1025,1,No info,14571,0,12.0,18,55,9,6
Air India,Banglore,New Delhi,655,2,No info,11003,25,21.0,10,30,3,3
Jet Airways,Delhi,Cochin,550,1,In-flight meal not included,10262,25,4.0,19,15,3,6
Jet Airways,Delhi,Cochin,995,1,No info,12719,50,18.0,2,15,21,3
Jet Airways,Delhi,Cochin,1325,1,In-flight meal not included,10262,0,19.0,20,55,24,6
Air India,Banglore,Delhi,165,0,No info,7171,45,19.0,17,0,21,6
SpiceJet,Banglore,Delhi,160,0,No info,4423,35,8.0,5,55,27,4
Multiple carriers,Delhi,Cochin,490,1,In-flight meal not included,12616,35,1.0,17,25,9,3
Air India,Delhi,Cochin,1560,2,No info,12970,15,19.0,17,15,1,6
Jet Airways,Kolkata,Banglore,775,1,No info,14914,5,10.0,21,10,24,3
Jet Airways,Mumbai,Hyderabad,85,0,In-flight meal not included,3210,20,4.0,2,55,6,5
GoAir,Banglore,Delhi,175,0,No info,4632,40,10.0,7,45,21,4
Jet Airways,Delhi,Cochin,655,1,In-flight meal not included,12373,25,4.0,17,30,9,5
IndiGo,Kolkata,Banglore,150,0,No info,4804,55,16.0,14,25,15,6
Multiple carriers,Delhi,Cochin,565,3,No info,21829,0,21.0,11,35,3,3
Multiple carriers,Delhi,Cochin,780,1,No info,13587,0,21.0,8,0,1,6
Jet Airways,Delhi,Cochin,1760,2,No info,12819,25,4.0,23,5,27,6
Air Asia,Delhi,Cochin,660,1,No info,6151,10,7.0,20,10,27,3
Jet Airways,Banglore,Delhi,175,0,No info,8016,10,18.0,15,15,1,6
Multiple carriers,Delhi,Cochin,680,1,No info,15135,50,18.0,7,30,6,3
IndiGo,Delhi,Cochin,500,1,No info,6794,30,1.0,17,10,21,5
Vistara,Kolkata,Banglore,1640,1,No info,8610,20,20.0,17,0,15,5
Air India,Kolkata,Banglore,1840,2,No info,12723,30,12.0,5,50,18,5
Air India,Kolkata,Banglore,1515,1,No info,7662,15,13.0,12,0,6,6
Multiple carriers,Delhi,Cochin,515,1,No info,14343,35,1.0,17,0,9,3
Multiple carriers,Delhi,Cochin,910,1,No info,6795,30,1.0,10,20,1,6
SpiceJet,Kolkata,Banglore,140,0,No info,3873,40,0.0,22,20,9,5
IndiGo,Mumbai,Hyderabad,90,0,No info,2754,35,20.0,19,5,12,6
Air India,Mumbai,Hyderabad,905,1,No info,16666,15,21.0,6,10,6,3
Multiple carriers,Delhi,Cochin,460,1,No info,11098,35,12.0,4,55,1,6
Jet Airways,Kolkata,Banglore,1745,1,In-flight meal not included,10539,5,22.0,17,0,9,6
Air India,Delhi,Cochin,735,1,No info,9929,15,19.0,7,0,27,5
Jet Airways,Kolkata,Banglore,1430,1,In-flight meal not included,10844,20,16.0,16,30,12,5
Jet Airways,Kolkata,Banglore,1730,1,No info,12692,25,14.0,9,35,6,6
Jet Airways,Delhi,Cochin,455,1,In-flight meal not included,9212,25,4.0,20,50,21,3
Multiple carriers,Delhi,Cochin,630,1,No info,13727,30,1.0,15,0,15,5
Air Asia,Banglore,Delhi,170,0,No info,4282,45,7.0,4,55,15,6
Jet Airways,Kolkata,Banglore,1285,1,In-flight meal not included,10844,20,16.0,18,55,24,5
Air India,Delhi,Cochin,965,1,No info,7480,25,9.0,17,20,27,6
IndiGo,Banglore,Delhi,180,0,No info,4823,55,19.0,16,55,1,5
Jet Airways,Delhi,Cochin,825,1,In-flight meal not included,12373,35,12.0,22,50,18,5
Multiple carriers,Delhi,Cochin,560,1,No info,7215,0,21.0,11,40,21,3
Air India,Delhi,Cochin,1640,1,No info,7480,25,9.0,6,5,9,5
Multiple carriers,Delhi,Cochin,720,1,No info,8143,0,21.0,9,0,24,6
IndiGo,Banglore,Delhi,175,0,No info,4823,20,21.0,18,25,3,5
Jet Airways,Kolkata,Banglore,735,1,In-flight meal not included,10844,15,8.0,20,0,6,6
SpiceJet,Banglore,Delhi,175,0,No info,5621,5,0.0,21,10,12,4
Vistara,Kolkata,Banglore,1440,1,No info,9555,20,20.0,20,20,18,5
IndiGo,Banglore,New Delhi,165,0,No info,4777,15,4.0,1,30,21,3
SpiceJet,Banglore,New Delhi,175,0,No info,7648,30,12.0,9,35,3,3
IndiGo,Kolkata,Banglore,295,1,No info,10308,15,14.0,9,20,1,4
Jet Airways,Delhi,Cochin,440,2,No info,21219,0,19.0,11,40,24,5
IndiGo,Kolkata,Banglore,295,1,No info,11319,15,14.0,9,20,6,5
Jet Airways,Kolkata,Banglore,1415,1,In-flight meal not included,10844,45,20.0,21,10,15,5
Multiple carriers,Delhi,Cochin,435,1,No info,15078,30,1.0,18,15,9,5
SpiceJet,Mumbai,Hyderabad,90,0,No info,2017,15,0.0,22,45,1,5
Air Asia,Kolkata,Banglore,150,0,No info,4409,20,1.0,22,50,1,6
IndiGo,Delhi,Cochin,275,1,No info,5054,10,12.0,7,35,9,6
Air India,Banglore,New Delhi,980,2,No info,10111,10,22.0,5,50,15,3
SpiceJet,Banglore,New Delhi,170,0,No check-in baggage included,4273,20,23.0,20,30,18,3
Jet Airways,Delhi,Cochin,1735,2,In-flight meal not included,8728,50,18.0,13,55,21,3
Air India,Kolkata,Banglore,905,1,No info,8576,55,7.0,16,50,24,5
Jet Airways,Banglore,Delhi,180,0,No info,8016,45,20.0,17,45,3,6
Jet Airways,Banglore,Delhi,175,0,No info,8016,10,18.0,15,15,9,6
Jet Airways,Kolkata,Banglore,1630,1,No info,14151,35,23.0,20,25,18,5
IndiGo,Banglore,Delhi,165,0,No info,4423,50,8.0,6,5,15,4
Jet Airways,Mumbai,Hyderabad,85,0,In-flight meal not included,4050,30,8.0,7,5,15,6
Jet Airways,Kolkata,Banglore,345,1,No info,14781,50,19.0,14,5,6,5
Jet Airways,Kolkata,Banglore,735,1,In-flight meal not included,8586,15,8.0,20,0,15,5
Air Asia,Kolkata,Banglore,215,1,No info,5162,30,23.0,19,55,21,5
Jet Airways,Kolkata,Banglore,450,1,No info,13731,40,4.0,21,10,9,6
Jet Airways,Delhi,Cochin,925,1,In-flight meal not included,7438,25,4.0,13,0,21,3
Jet Airways,Kolkata,Banglore,1520,1,No info,14151,55,10.0,9,35,15,5
Vistara,Banglore,Delhi,170,0,No info,5613,50,23.0,21,0,12,4
IndiGo,Kolkata,Banglore,290,1,No info,5380,5,20.0,15,15,15,5
Jet Airways,Delhi,Cochin,1015,1,In-flight meal not included,7438,25,4.0,11,30,21,3
Multiple carriers,Delhi,Cochin,925,1,No info,9646,30,22.0,7,5,1,6
Air Asia,Delhi,Cochin,625,1,No info,6853,10,7.0,20,45,15,5
Jet Airways,Banglore,New Delhi,375,1,No info,13555,20,20.0,14,5,18,3
IndiGo,Delhi,Cochin,480,1,No info,5883,30,1.0,17,30,15,6
IndiGo,Delhi,Cochin,425,1,No info,6171,0,12.0,4,55,9,3
IndiGo,Mumbai,Hyderabad,90,0,No info,3175,25,18.0,16,55,21,5
IndiGo,Delhi,Cochin,355,1,No info,4832,40,13.0,7,45,27,3
Multiple carriers,Delhi,Cochin,570,1,No info,13377,30,1.0,16,0,1,6
Jet Airways,Delhi,Cochin,520,1,In-flight meal not included,10262,25,4.0,19,45,24,6
Jet Airways,Delhi,Cochin,1100,1,In-flight meal not included,10262,35,12.0,18,15,1,6
Air India,Delhi,Cochin,1180,2,No info,8603,40,7.0,12,0,18,5
Jet Airways,Kolkata,Banglore,1330,1,In-flight meal not included,8586,40,4.0,6,30,6,6
Vistara,Kolkata,Banglore,765,1,No info,8452,5,9.0,20,20,21,5
Jet Airways,Kolkata,Banglore,1395,1,No info,14231,10,18.0,18,55,24,3
Jet Airways,Delhi,Cochin,660,1,No info,16289,0,19.0,8,0,21,5
SpiceJet,Banglore,New Delhi,175,0,No info,6860,30,12.0,9,35,3,3
IndiGo,Mumbai,Hyderabad,90,0,No info,2754,5,4.0,2,35,9,5
Multiple carriers,Delhi,Cochin,925,1,No info,9646,30,22.0,7,5,9,6
Air India,Chennai,Kolkata,135,0,No info,4667,55,13.0,11,40,27,5
IndiGo,Kolkata,Banglore,155,0,No info,4804,5,18.0,15,30,21,4
IndiGo,Banglore,New Delhi,165,0,No info,4545,15,4.0,1,30,9,3
Jet Airways,Banglore,New Delhi,1290,1,No info,25735,20,20.0,22,50,1,3
Jet Airways,Delhi,Cochin,1375,2,No info,12647,25,4.0,5,30,21,3
Jet Airways,Kolkata,Banglore,1090,1,In-flight meal not included,8586,15,8.0,14,5,1,5
IndiGo,Chennai,Kolkata,140,0,No info,5277,25,0.0,22,5,9,6
IndiGo,Delhi,Cochin,845,1,No info,6206,35,1.0,11,30,27,3
Air Asia,Banglore,Delhi,165,0,No info,4483,55,13.0,11,10,12,4
Vistara,Kolkata,Banglore,1550,1,No info,9870,50,18.0,17,0,24,5
SpiceJet,Kolkata,Banglore,150,0,No check-in baggage included,3841,40,19.0,17,10,27,6
SpiceJet,Kolkata,Banglore,150,0,No check-in baggage included,3815,30,11.0,9,0,27,3
IndiGo,Banglore,New Delhi,170,0,No info,6860,20,2.0,23,30,24,3
Jet Airways,Kolkata,Banglore,870,1,No info,12121,55,10.0,20,25,1,5
Jet Airways,Delhi,Cochin,535,1,In-flight meal not included,5963,50,18.0,9,55,27,3
SpiceJet,Banglore,Delhi,160,0,No info,3625,35,8.0,5,55,6,6
SpiceJet,Kolkata,Banglore,145,0,No check-in baggage included,3841,25,11.0,9,0,15,6
IndiGo,Banglore,Delhi,170,0,No info,4823,50,22.0,20,0,12,6
Multiple carriers,Delhi,Cochin,385,1,No info,9646,10,16.0,9,45,12,6
Jet Airways,Delhi,Cochin,620,1,In-flight meal not included,10152,35,12.0,2,15,27,5
IndiGo,Delhi,Cochin,940,1,No info,7514,30,22.0,6,50,3,6
Jet Airways,Banglore,New Delhi,685,1,No info,16736,25,18.0,7,0,6,3
Jet Airways,Kolkata,Banglore,910,1,No info,13584,5,10.0,18,55,6,5
Air India,Kolkata,Banglore,1415,2,No info,11222,55,7.0,8,20,21,5
IndiGo,Chennai,Kolkata,140,0,No info,3850,15,10.0,7,55,1,5
Vistara,Banglore,New Delhi,160,0,No info,7608,40,14.0,12,0,24,3
Jet Airways,Kolkata,Banglore,1220,1,In-flight meal not included,10844,20,16.0,20,0,12,5
Multiple carriers,Delhi,Cochin,510,1,No info,7408,30,1.0,17,0,9,6
Vistara,Chennai,Kolkata,135,0,No info,3687,20,9.0,7,5,18,5
SpiceJet,Delhi,Cochin,375,1,No info,11726,50,22.0,16,35,3,3
Jet Airways,Kolkata,Banglore,1610,1,In-flight meal not included,9663,20,9.0,6,30,6,5
Air India,Kolkata,Banglore,1845,2,No info,12829,45,13.0,7,0,24,3
IndiGo,Delhi,Cochin,300,1,No info,6069,0,21.0,16,0,27,6
Jet Airways,Kolkata,Banglore,1640,1,In-flight meal not included,8529,50,19.0,16,30,12,6
Vistara,Kolkata,Banglore,385,1,No info,8085,25,23.0,17,0,9,5
Vistara,Banglore,Delhi,165,0,No info,4878,15,22.0,19,30,15,5
IndiGo,Banglore,Delhi,170,0,No info,4077,50,15.0,13,0,3,4
IndiGo,Kolkata,Banglore,315,1,No info,7605,15,2.0,21,0,9,5
Jet Airways,Delhi,Cochin,1375,2,No info,13014,25,4.0,5,30,15,6
IndiGo,Delhi,Cochin,885,1,No info,11600,20,22.0,7,35,3,3
Jet Airways,Kolkata,Banglore,1005,1,No info,14151,45,9.0,17,0,12,5
Air India,Delhi,Cochin,1105,2,No info,12497,40,7.0,13,15,24,6
Jet Airways,Delhi,Cochin,995,1,No info,17024,50,18.0,2,15,6,3
SpiceJet,Chennai,Kolkata,155,0,No info,6300,5,12.0,9,30,9,3
Multiple carriers,Delhi,Cochin,470,1,No info,15147,35,1.0,17,45,6,3
Multiple carriers,Delhi,Cochin,760,1,No info,6795,30,1.0,12,50,1,6
IndiGo,Mumbai,Hyderabad,85,0,No info,5755,30,20.0,19,5,3,3
Air India,Kolkata,Banglore,1185,1,No info,10203,15,16.0,20,30,12,5
Jet Airways,Delhi,Cochin,1015,1,No info,14714,25,4.0,11,30,6,6
IndiGo,Banglore,New Delhi,170,0,No info,4545,10,1.0,22,20,18,3
Jet Airways,Kolkata,Banglore,855,1,No info,14781,45,20.0,6,30,15,5
Air India,Banglore,New Delhi,1655,2,No info,11602,5,11.0,7,30,12,3
IndiGo,Mumbai,Hyderabad,90,0,No info,4049,55,7.0,6,25,6,5
Jet Airways,Delhi,Cochin,1375,2,In-flight meal not included,13029,25,4.0,5,30,9,5
Jet Airways,Kolkata,Banglore,740,1,No info,14571,45,20.0,8,25,9,6
Air India,Banglore,Delhi,165,0,No info,6961,55,8.0,6,10,9,6
SpiceJet,Kolkata,Banglore,520,1,No info,6381,15,17.0,8,35,15,5
SpiceJet,Kolkata,Banglore,155,0,No check-in baggage included,3841,30,9.0,6,55,1,4
Jet Airways,Delhi,Cochin,1325,2,No info,11538,25,4.0,6,20,21,3
Vistara,Kolkata,Banglore,1440,1,No info,8610,20,20.0,20,20,6,5
Air India,Delhi,Cochin,2170,2,No info,11552,15,19.0,7,5,6,3
Multiple carriers,Delhi,Cochin,840,1,No info,7408,0,21.0,7,0,1,6
Jet Airways,Delhi,Cochin,1010,1,In-flight meal not included,10262,35,12.0,19,45,27,6
Air India,Kolkata,Banglore,1625,2,No info,10991,55,8.0,5,50,6,5
Multiple carriers,Delhi,Cochin,435,1,No info,13587,30,1.0,18,15,9,6
Air India,Delhi,Cochin,1255,1,No info,7480,25,9.0,12,30,15,5
IndiGo,Banglore,New Delhi,300,1,No info,6351,55,22.0,17,55,9,3
Multiple carriers,Delhi,Cochin,420,1,In-flight meal not included,7153,0,21.0,14,0,27,5
Air Asia,Kolkata,Banglore,150,0,No info,4409,25,22.0,19,55,6,5
IndiGo,Kolkata,Banglore,315,1,No info,7228,15,2.0,21,0,15,5
Multiple carriers,Delhi,Cochin,650,1,No info,11667,50,18.0,8,0,27,3
SpiceJet,Kolkata,Banglore,315,1,No info,4649,20,20.0,15,5,12,6
Air India,Kolkata,Banglore,1255,2,No info,12592,45,13.0,16,50,9,5
Multiple carriers,Delhi,Cochin,520,1,No info,11789,0,19.0,10,20,12,6
Air India,Chennai,Kolkata,135,0,No info,4667,55,13.0,11,40,1,6
Air Asia,Kolkata,Banglore,720,1,No info,9719,40,10.0,22,40,21,5
Air India,Delhi,Cochin,375,1,No info,6902,15,19.0,13,0,27,3
Jet Airways,Kolkata,Banglore,520,1,No info,14781,40,4.0,20,0,21,5
Jet Airways,Kolkata,Banglore,850,1,In-flight meal not included,10844,35,22.0,8,25,18,5
Air India,Kolkata,Banglore,1975,2,No info,11522,35,14.0,5,40,24,3
Air India,Banglore,Delhi,170,0,No info,6121,10,16.0,13,20,21,4
Vistara,Kolkata,Banglore,385,1,No info,8610,25,23.0,17,0,6,6
Air Asia,Kolkata,Banglore,150,0,No info,5620,20,1.0,22,50,24,3
IndiGo,Kolkata,Banglore,150,0,No info,4804,45,17.0,15,15,27,5
Multiple carriers,Delhi,Cochin,640,1,No info,7005,0,21.0,10,20,27,5
Jet Airways,Delhi,Cochin,1195,2,No info,15129,0,19.0,23,5,1,5
Jet Airways,Kolkata,Banglore,520,1,In-flight meal not included,8586,40,4.0,20,0,24,5
Multiple carriers,Delhi,Cochin,660,1,No info,10197,0,19.0,8,0,18,5
Multiple carriers,Delhi,Cochin,605,1,No info,10667,15,19.0,9,10,27,3
IndiGo,Kolkata,Banglore,295,1,No info,11160,15,14.0,9,20,12,6
Air India,Delhi,Cochin,1855,2,No info,12488,15,19.0,12,20,27,5
Jet Airways,Kolkata,Banglore,685,1,In-flight meal not included,10844,50,19.0,8,25,18,5
Air India,Delhi,Cochin,1595,2,No info,9968,15,19.0,16,40,3,6
Jet Airways,Banglore,Delhi,185,0,In-flight meal not included,5198,0,22.0,18,55,18,5
Jet Airways,Kolkata,Banglore,875,1,In-flight meal not included,8586,40,4.0,14,5,1,5
IndiGo,Chennai,Kolkata,145,0,No info,4332,0,14.0,11,35,18,5
IndiGo,Kolkata,Banglore,290,1,No info,5069,0,13.0,8,10,6,5
Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,4544,20,11.0,8,20,6,5
Multiple carriers,Delhi,Cochin,690,1,No info,14973,30,15.0,4,0,3,3
Air India,Banglore,New Delhi,2120,3,No info,13387,5,18.0,6,45,12,3
SpiceJet,Banglore,Delhi,160,0,No info,3625,35,8.0,5,55,9,6
Jet Airways,Kolkata,Banglore,1730,1,In-flight meal not included,10703,25,14.0,9,35,24,5
IndiGo,Kolkata,Banglore,155,0,No info,7615,45,17.0,15,10,24,3
IndiGo,Banglore,Delhi,175,0,No info,4823,20,21.0,18,25,27,5
Jet Airways,Banglore,New Delhi,1045,1,No info,16736,5,5.0,11,40,6,3
Jet Airways,Kolkata,Banglore,890,1,In-flight meal not included,9663,0,12.0,21,10,9,5
Multiple carriers,Delhi,Cochin,630,1,No info,9205,0,19.0,8,30,18,5
Jet Airways,Delhi,Cochin,335,1,No info,15554,25,4.0,22,50,9,5
SpiceJet,Mumbai,Hyderabad,90,0,No check-in baggage included,1965,15,0.0,22,45,15,5
Air India,Kolkata,Banglore,150,0,No info,5510,45,16.0,14,15,15,6
Multiple carriers,Delhi,Cochin,535,1,No info,8266,15,19.0,10,20,9,5
IndiGo,Mumbai,Hyderabad,90,0,No info,3175,25,18.0,16,55,27,5
SpiceJet,Delhi,Cochin,270,1,No check-in baggage included,4760,15,13.0,8,45,9,5
Multiple carriers,Delhi,Cochin,735,1,No info,7740,0,21.0,8,45,27,5
Jet Airways,Kolkata,Banglore,570,1,No info,13941,35,23.0,14,5,15,5
Air Asia,Delhi,Cochin,865,1,No info,11410,10,7.0,16,45,6,6
Jet Airways,Kolkata,Banglore,1640,1,No info,12681,50,19.0,16,30,1,4
Jet Airways,Delhi,Cochin,1615,2,No info,15129,35,12.0,9,40,6,5
Jet Airways,Delhi,Cochin,810,2,In-flight meal not included,10368,0,19.0,5,30,12,6
Air India,Kolkata,Banglore,725,2,No info,12324,25,20.0,8,20,21,5
SpiceJet,Kolkata,Banglore,150,0,No check-in baggage included,3841,40,19.0,17,10,15,4
Jet Airways,Delhi,Cochin,1375,2,No info,13014,25,4.0,5,30,24,6
IndiGo,Delhi,Cochin,940,1,No info,6442,30,22.0,6,50,27,6
Jet Airways,Delhi,Cochin,300,1,In-flight meal not included,12373,0,19.0,14,0,18,5
Jet Airways,Banglore,New Delhi,845,1,No info,13817,0,23.0,8,55,12,3
IndiGo,Banglore,Delhi,175,0,No info,4823,50,21.0,18,55,24,6
Jet Airways,Delhi,Cochin,1395,2,In-flight meal not included,9412,25,4.0,5,10,27,3
Air India,Delhi,Cochin,1275,2,No info,10231,15,19.0,22,0,27,5
Jet Airways,Banglore,Delhi,175,0,No info,7229,45,18.0,15,50,9,4
SpiceJet,Banglore,New Delhi,175,0,No check-in baggage included,4273,30,12.0,9,35,24,3
Jet Airways,Kolkata,Banglore,1550,1,In-flight meal not included,10844,45,20.0,18,55,18,5
IndiGo,Delhi,Cochin,325,1,No info,7164,25,7.0,2,0,27,5
Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,6478,10,10.0,7,10,27,6
Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,5198,10,10.0,7,10,12,5
SpiceJet,Banglore,Delhi,160,0,No check-in baggage included,4319,35,8.0,5,55,27,4
Jet Airways,Delhi,Cochin,1040,1,In-flight meal not included,10262,35,12.0,19,15,27,6
Vistara,Delhi,Cochin,190,0,No info,6741,50,17.0,14,40,18,5
Jet Airways,Kolkata,Banglore,510,1,No info,14571,35,22.0,14,5,6,6
Air India,Banglore,New Delhi,725,1,Change airports,26092,55,23.0,11,50,1,3
Air India,Delhi,Cochin,500,2,No info,11753,15,19.0,10,55,27,6
Jet Airways,Banglore,New Delhi,900,1,In-flight meal not included,7832,0,23.0,8,0,21,3
Vistara,Kolkata,Banglore,790,1,No info,8610,20,20.0,7,10,1,5
Jet Airways,Kolkata,Banglore,510,1,No info,13626,35,22.0,14,5,12,6
Jet Airways,Delhi,Cochin,1615,2,In-flight meal not included,10368,35,12.0,9,40,9,6
IndiGo,Mumbai,Hyderabad,90,0,No info,2754,5,4.0,2,35,18,6
Jet Airways,Kolkata,Banglore,1500,1,No info,12692,0,18.0,17,0,6,6
IndiGo,Banglore,New Delhi,175,0,No info,10067,0,13.0,10,5,1,3
GoAir,Delhi,Cochin,540,1,No info,4959,35,19.0,10,35,3,6
Air India,Banglore,New Delhi,1580,2,No info,19372,10,11.0,8,50,1,3
Air India,Mumbai,Hyderabad,80,0,No info,3100,40,7.0,6,20,18,5
Multiple carriers,Delhi,Cochin,810,1,No info,8405,0,21.0,7,30,15,5
Multiple carriers,Delhi,Cochin,570,1,In-flight meal not included,6943,0,21.0,11,30,27,5
SpiceJet,Kolkata,Banglore,150,0,No check-in baggage included,3841,40,19.0,17,10,27,4
SpiceJet,Mumbai,Hyderabad,90,0,No info,2017,15,0.0,22,45,6,6
Vistara,Kolkata,Banglore,1065,1,No info,9187,45,10.0,17,0,1,5
Jet Airways,Kolkata,Banglore,685,1,No info,13941,50,19.0,8,25,12,5
Jet Airways,Delhi,Cochin,1415,2,In-flight meal not included,8938,50,18.0,19,15,21,3
SpiceJet,Banglore,Delhi,170,0,No check-in baggage included,4319,20,12.0,9,30,18,5
SpiceJet,Banglore,Delhi,175,0,No check-in baggage included,3573,5,0.0,21,10,1,4
SpiceJet,Kolkata,Banglore,145,0,No check-in baggage included,3841,25,11.0,9,0,3,5
Jet Airways,Delhi,Cochin,195,0,In-flight meal not included,7202,15,14.0,11,0,27,6
Vistara,Kolkata,Banglore,355,1,No info,9187,55,22.0,17,0,9,6
GoAir,Delhi,Cochin,370,1,No info,6976,35,13.0,7,25,3,6
Jet Airways,Delhi,Cochin,1100,1,In-flight meal not included,12898,35,12.0,18,15,21,5
