,Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Arr_Time_Min,Arr_Time_Hour,Dep_Time_Hour,Dep_Time_Min
1014,Air India,21/03/2019,Banglore,New Delhi,BLR → VGA → DEL,745,1,No info,6383,55,22.0,10,30
1015,Air India,24/06/2019,Delhi,Cochin,DEL → HYD → BOM → COK,865,2,No info,11989,40,7.0,17,15
1016,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,170,0,No info,7303,45,21.0,18,55
1017,Jet Airways,21/04/2019,Banglore,Delhi,BLR → DEL,185,0,No info,7229,0,22.0,18,55
1018,Jet Airways,21/06/2019,Mumbai,Hyderabad,BOM → HYD,90,0,In-flight meal not included,4995,15,10.0,8,45
1019,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,480,1,No info,7408,0,21.0,13,0
1020,Air India,15/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,1185,2,No info,14960,30,12.0,16,45
1021,Air Asia,24/03/2019,Banglore,New Delhi,BLR → DEL,165,0,No info,4482,10,2.0,23,25
1022,IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,560,1,No info,6442,10,16.0,6,50
1023,Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,180,0,In-flight meal not included,6144,20,11.0,8,20
1024,Jet Airways,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,1615,2,No info,15129,35,12.0,9,40
1025,Air India,21/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,No info,10231,15,19.0,22,0
1026,IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,170,0,No info,4823,50,22.0,20,0
1027,IndiGo,9/06/2019,Banglore,Delhi,BLR → DEL,170,0,No info,4823,20,11.0,8,30
1028,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,1015,1,In-flight meal not included,12898,25,4.0,11,30
1029,Jet Airways,1/05/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,5678,5,21.0,19,35
1030,Air India,9/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,1545,2,No info,14483,40,7.0,5,55
1031,Jet Airways,15/05/2019,Mumbai,Hyderabad,BOM → HYD,90,0,In-flight meal not included,2228,5,21.0,19,35
1032,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → HYD → COK,555,1,No info,8018,30,22.0,13,15
1033,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,665,1,In-flight meal not included,15136,0,21.0,9,55
1034,SpiceJet,24/04/2019,Delhi,Cochin,DEL → MAA → COK,380,1,No info,5583,5,22.0,15,45
1035,Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,1730,2,No info,13381,15,19.0,14,25
1036,Air India,15/03/2019,Banglore,New Delhi,BLR → COK → DEL,1675,1,No info,7932,50,10.0,6,55
1037,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,735,1,In-flight meal not included,7757,15,8.0,20,0
1038,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,1375,2,In-flight meal not included,13029,25,4.0,5,30
1039,SpiceJet,9/06/2019,Kolkata,Banglore,CCU → BLR,155,0,No check-in baggage included,3841,30,9.0,6,55
1040,Air India,03/03/2019,Banglore,New Delhi,BLR → DEL,170,0,No info,10216,10,16.0,13,20
1041,Air India,21/05/2019,Mumbai,Hyderabad,BOM → HYD,80,0,No info,3100,25,22.0,21,5
1042,Air India,21/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,1560,2,No info,8245,15,19.0,17,15
1043,Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → DEL,525,1,1 Long layover,14594,50,19.0,11,5
1044,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,1090,2,No info,14237,35,12.0,18,25
1045,Air India,21/05/2019,Kolkata,Banglore,CCU → JAI → DEL → BLR,895,2,No info,13164,15,23.0,8,20
1046,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,450,1,No info,14924,25,4.0,20,55
1047,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,1150,1,In-flight meal not included,10844,20,16.0,21,10
1048,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → GAU → BLR,435,1,In-flight meal not included,7064,35,17.0,10,20
1049,Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,700,1,No info,9555,50,18.0,7,10
1050,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,520,1,No info,7155,15,19.0,10,35
1051,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,660,1,No info,12192,0,19.0,8,0
1052,Air Asia,18/05/2019,Delhi,Cochin,DEL → BLR → COK,865,1,No info,7353,10,7.0,16,45
1053,IndiGo,27/06/2019,Delhi,Cochin,DEL → HYD → COK,275,1,No info,5054,10,12.0,7,35
1054,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → IXU → BOM → COK,460,2,No info,18485,30,1.0,17,50
1055,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,705,1,In-flight meal not included,10844,15,18.0,6,30
1056,Jet Airways,18/05/2019,Banglore,Delhi,BLR → DEL,180,0,In-flight meal not included,6144,20,11.0,8,20
1057,IndiGo,1/05/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2754,35,20.0,19,5
1058,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,630,1,No info,12327,35,1.0,15,5
1059,SpiceJet,6/05/2019,Kolkata,Banglore,CCU → BLR,155,0,No check-in baggage included,3841,30,9.0,6,55
1060,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,335,1,In-flight meal not included,12373,25,4.0,22,50
1061,Air India,21/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,No info,10231,15,19.0,22,0
1062,IndiGo,21/05/2019,Delhi,Cochin,DEL → BOM → COK,705,1,No info,7318,0,21.0,9,15
1063,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,1200,1,No info,16736,40,7.0,11,40
1064,IndiGo,9/06/2019,Delhi,Cochin,DEL → LKO → COK,345,1,No info,6195,35,3.0,21,50
1065,SpiceJet,6/06/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2753,15,7.0,5,45
1066,SpiceJet,24/03/2019,Chennai,Kolkata,MAA → CCU,155,0,No check-in baggage included,3807,5,12.0,9,30
1067,Jet Airways,3/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,2820,2,No info,20064,25,4.0,5,25
1068,IndiGo,21/06/2019,Delhi,Cochin,DEL → COK,195,0,No info,5406,20,0.0,21,5
1069,Air India,1/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,No info,10441,15,19.0,22,0
1070,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,800,1,In-flight meal not included,8066,45,9.0,20,25
1071,Air India,27/06/2019,Banglore,Delhi,BLR → DEL,165,0,No info,6961,45,19.0,17,0
1072,Vistara,21/03/2019,Delhi,Cochin,DEL → COK,175,0,No info,5586,50,17.0,14,55
1073,Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,320,1,No info,7384,0,23.0,17,40
1074,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,1280,1,No info,20800,0,9.0,11,40
1075,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,330,1,No info,13941,0,12.0,6,30
1076,Jet Airways,3/05/2019,Banglore,Delhi,BLR → DEL,180,0,In-flight meal not included,5198,20,11.0,8,20
1077,SpiceJet,18/03/2019,Chennai,Kolkata,MAA → CCU,155,0,No check-in baggage included,3807,5,12.0,9,30
1078,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → HYD → COK,755,1,No info,13838,20,22.0,9,45
1079,Air India,24/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,1580,2,No info,11185,25,9.0,7,5
1080,Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,175,0,In-flight meal not included,7229,10,18.0,15,15
1081,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,395,1,In-flight meal not included,10262,25,4.0,21,50
1082,Air Asia,9/03/2019,Kolkata,Banglore,CCU → BLR,150,0,No info,4384,5,22.0,19,35
1083,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,1390,2,No info,12819,35,12.0,13,25
1084,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,775,1,In-flight meal not included,7757,5,10.0,21,10
1085,Air India,21/04/2019,Delhi,Cochin,DEL → BLR → COK,1590,1,No info,7174,0,23.0,20,30
1086,IndiGo,1/06/2019,Delhi,Cochin,DEL → HYD → COK,635,1,No info,6674,30,22.0,11,55
1087,IndiGo,18/05/2019,Mumbai,Hyderabad,BOM → HYD,95,0,No info,2227,40,21.0,20,5
1088,Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,1025,2,No info,13014,35,12.0,19,30
1089,IndiGo,21/03/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,3175,25,18.0,16,55
1090,IndiGo,1/03/2019,Kolkata,Banglore,CCU → BLR,165,0,No info,6565,20,12.0,9,35
1091,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,1720,1,No info,12681,35,23.0,18,55
1092,Vistara,1/06/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,3687,20,9.0,7,5
1093,Jet Airways,15/06/2019,Mumbai,Hyderabad,BOM → HYD,90,0,In-flight meal not included,3210,5,21.0,19,35
1094,IndiGo,6/03/2019,Kolkata,Banglore,CCU → BLR,160,0,No info,4778,5,23.0,20,25
1095,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,455,1,No info,10877,0,19.0,11,25
1096,Vistara,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,865,1,No info,9187,45,10.0,20,20
1097,Air India,15/03/2019,Banglore,New Delhi,BLR → COK → DEL,1520,1,No info,6850,20,23.0,22,0
1098,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,590,1,No info,14781,15,18.0,8,25
1099,Air India,6/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,970,2,No info,13227,55,8.0,16,45
1100,Vistara,9/05/2019,Banglore,Delhi,BLR → DEL,160,0,No info,4668,40,9.0,7,0
1101,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,330,1,No info,14178,0,12.0,6,30
1102,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,1005,1,In-flight meal not included,8066,45,9.0,17,0
1103,IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,170,0,No info,3943,50,15.0,13,0
1104,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,690,1,No info,11200,0,19.0,7,30
1105,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,585,1,In-flight meal not included,8586,40,4.0,18,55
1106,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,775,1,No info,13044,5,10.0,21,10
1107,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,600,1,No info,8099,15,19.0,9,15
1108,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,655,1,In-flight meal not included,10262,25,4.0,17,30
1109,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → IXU → BOM → COK,460,2,No info,18275,30,1.0,17,50
1110,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,900,1,No info,8475,0,21.0,6,0
1111,SpiceJet,6/04/2019,Kolkata,Banglore,CCU → BLR,140,0,No info,3873,40,0.0,22,20
1112,IndiGo,21/06/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2227,50,22.0,21,20
1113,Jet Airways,6/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,2300,2,In-flight meal not included,16389,45,19.0,5,25
1114,Air India,3/05/2019,Banglore,Delhi,BLR → DEL,165,0,No info,5228,55,8.0,6,10
1115,Air India,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,1265,1,No info,5092,55,8.0,11,50
1116,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,175,0,No info,4777,15,0.0,21,20
1117,Air Asia,24/03/2019,Banglore,New Delhi,BLR → DEL,170,0,No info,3383,40,8.0,5,50
1118,Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,1555,1,No info,8452,5,9.0,7,10
1119,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,170,0,No info,3943,20,2.0,23,30
1120,Air India,24/06/2019,Mumbai,Hyderabad,BOM → HYD,80,0,No info,3100,25,22.0,21,5
1121,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,985,1,No info,14871,35,1.0,9,10
1122,Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,175,0,No info,8016,5,14.0,11,10
1123,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,780,1,No info,11789,0,19.0,6,0
1124,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,440,1,No info,10529,0,19.0,11,40
1125,Air Asia,15/03/2019,Banglore,New Delhi,BLR → DEL,170,0,No info,5615,40,8.0,5,50
1126,SpiceJet,6/06/2019,Kolkata,Banglore,CCU → MAA → BLR,315,1,No info,4649,20,20.0,15,5
1127,Air India,9/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,1045,2,No info,12723,15,23.0,5,50
1128,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,705,1,In-flight meal not included,10844,15,18.0,6,30
1129,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,1325,1,No info,14714,0,19.0,20,55
1130,Vistara,12/06/2019,Delhi,Cochin,DEL → COK,190,0,No info,6216,50,17.0,14,40
1131,IndiGo,15/03/2019,Kolkata,Banglore,CCU → BLR,165,0,No info,4148,20,12.0,9,35
1132,IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → COK,320,1,No info,5647,0,12.0,6,40
1133,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,590,1,In-flight meal not included,10844,15,18.0,8,25
1134,IndiGo,9/05/2019,Delhi,Cochin,DEL → HYD → COK,425,1,No info,6818,10,12.0,5,5
1135,Air India,27/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,1245,2,No info,13643,40,7.0,10,55
1136,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,840,1,No info,6358,0,21.0,7,0
1137,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,360,1,No info,14714,0,19.0,13,0
1138,SpiceJet,21/04/2019,Delhi,Cochin,DEL → PNQ → COK,270,1,No info,6460,15,13.0,8,45
1139,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,890,1,In-flight meal not included,9663,0,12.0,21,10
1140,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,1655,1,No info,13941,5,10.0,6,30
1141,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,1440,1,In-flight meal not included,5963,45,19.0,19,45
1142,Jet Airways,15/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,1025,2,No info,13014,35,12.0,19,30
1143,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,1010,1,In-flight meal not included,9663,20,9.0,16,30
1144,IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,170,0,No info,4423,50,15.0,13,0
1145,Jet Airways,6/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,440,2,No info,21219,0,19.0,11,40
1146,IndiGo,24/05/2019,Delhi,Cochin,DEL → BOM → COK,415,1,No info,7503,30,1.0,18,35
1147,IndiGo,24/06/2019,Kolkata,Banglore,CCU → BLR,160,0,No info,4804,5,0.0,21,25
1148,Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,1615,2,No info,15129,35,12.0,9,40
1149,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,850,2,No info,6197,20,21.0,7,10
1150,SpiceJet,27/05/2019,Chennai,Kolkata,MAA → CCU,140,0,No info,3597,5,20.0,17,45
1151,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,705,1,No info,9100,15,19.0,7,30
1152,Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,85,0,In-flight meal not included,4050,30,8.0,7,5
1153,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,930,1,No info,7723,30,1.0,10,0
1154,Jet Airways,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,No info,15129,0,19.0,23,5
1155,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,660,1,In-flight meal not included,12373,0,19.0,8,0
1156,IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,170,0,No info,4591,20,2.0,23,30
1157,SpiceJet,9/03/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,6300,35,10.0,8,20
1158,Air India,24/03/2019,Banglore,New Delhi,BLR → DEL,165,0,No info,5176,45,19.0,17,0
1159,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,600,1,No info,12717,0,19.0,9,0
1160,Air India,18/03/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,4405,55,13.0,11,40
1161,SpiceJet,21/04/2019,Delhi,Cochin,DEL → MAA → COK,380,1,No info,6749,5,22.0,15,45
1162,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → GAU → BLR,435,1,In-flight meal not included,7064,35,17.0,10,20
1163,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,330,1,No info,16289,35,12.0,7,5
1164,IndiGo,15/03/2019,Chennai,Kolkata,MAA → CCU,145,0,No info,6297,0,14.0,11,35
1165,Jet Airways,12/05/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,5678,5,21.0,19,35
1166,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,800,1,No info,14388,20,9.0,20,0
1167,Jet Airways,18/04/2019,Banglore,Delhi,BLR → DEL,165,0,No info,7229,45,8.0,6,0
1168,IndiGo,24/03/2019,Kolkata,Banglore,CCU → BBI → BLR,270,1,No info,9806,25,16.0,11,55
1169,IndiGo,6/06/2019,Delhi,Cochin,DEL → LKO → COK,345,1,No info,6195,35,3.0,21,50
1170,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,1400,1,No info,13044,15,18.0,18,55
1171,Jet Airways,27/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,1000,2,No info,13882,25,4.0,11,45
1172,Jet Airways,24/03/2019,Banglore,New Delhi,BLR → BOM → DEL,300,1,In-flight meal not included,8147,45,10.0,5,45
1173,Air India,9/04/2019,Delhi,Cochin,DEL → HYD → BOM → COK,865,2,No info,8052,40,7.0,17,15
1174,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,800,1,No info,14781,50,19.0,6,30
1175,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,750,1,No info,14151,5,22.0,9,35
1176,IndiGo,18/05/2019,Kolkata,Banglore,CCU → NAG → BLR,325,1,No info,6704,30,23.0,18,5
1177,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,1655,1,In-flight meal not included,9663,0,12.0,8,25
1178,IndiGo,18/03/2019,Kolkata,Banglore,CCU → BLR,155,0,No info,4462,55,17.0,15,20
1179,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,1060,2,In-flight meal not included,8367,25,4.0,10,45
1180,Jet Airways,9/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,1300,2,No info,13376,25,4.0,6,45
1181,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,800,1,No info,13067,45,9.0,20,25
1182,IndiGo,21/05/2019,Kolkata,Banglore,CCU → BLR,150,0,No info,5224,55,16.0,14,25
1183,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,575,1,No info,13542,35,1.0,16,0
1184,GoAir,24/05/2019,Banglore,Delhi,BLR → DEL,175,0,No info,3419,40,10.0,7,45
1185,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,695,2,No info,10444,20,21.0,9,45
1186,IndiGo,1/06/2019,Kolkata,Banglore,CCU → BLR,155,0,No info,4804,10,12.0,9,35
1187,Jet Airways,21/05/2019,Mumbai,Hyderabad,BOM → HYD,85,0,In-flight meal not included,4995,30,8.0,7,5
1188,SpiceJet,27/04/2019,Delhi,Cochin,DEL → BLR → COK,295,1,No info,4957,50,22.0,17,55
1189,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,450,1,No info,15554,25,4.0,20,55
1190,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,960,1,In-flight meal not included,9663,0,12.0,20,0
1191,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,1450,1,No info,14151,45,9.0,9,35
1192,IndiGo,6/06/2019,Delhi,Cochin,DEL → COK,195,0,No info,5601,50,8.0,5,35
1193,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,755,1,No info,7787,15,19.0,6,40
1194,Air India,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,725,1,No info,5092,55,23.0,11,50
1195,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,730,1,In-flight meal not included,10844,20,9.0,21,10
1196,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → IXU → BOM → COK,465,2,No info,23583,35,1.0,17,50
1197,Air India,12/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,1830,2,No info,10676,30,18.0,12,0
1198,SpiceJet,6/06/2019,Kolkata,Banglore,CCU → IXB → BLR,435,1,No info,10156,30,18.0,11,15
1199,Air Asia,6/03/2019,Delhi,Cochin,DEL → BLR → COK,865,1,No info,8627,10,7.0,16,45
1200,Air Asia,21/05/2019,Kolkata,Banglore,CCU → BLR,150,0,No info,4409,15,12.0,9,45
1201,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,385,1,No info,9646,10,16.0,9,45
1202,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,900,1,No info,13817,25,12.0,21,25
1203,Air India,9/05/2019,Delhi,Cochin,DEL → UDR → BOM → COK,1100,2,No info,13538,40,7.0,13,20
1204,Air India,9/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,1195,2,No info,9416,55,7.0,12,0
1205,Jet Airways,27/04/2019,Banglore,Delhi,BLR → DEL,175,0,No info,7229,5,14.0,11,10
1206,Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,795,1,No info,10203,15,23.0,10,0
1207,IndiGo,21/05/2019,Delhi,Cochin,DEL → HYD → COK,525,1,No info,6778,55,0.0,16,10
1208,IndiGo,15/06/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2754,30,13.0,12,0
1209,Air India,1/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,875,2,No info,10991,25,20.0,5,50
1210,Vistara,27/05/2019,Banglore,Delhi,BLR → DEL,170,0,No info,4668,20,14.0,11,30
1211,SpiceJet,3/06/2019,Delhi,Cochin,DEL → PNQ → COK,270,1,No check-in baggage included,5726,15,13.0,8,45
1212,Air India,12/06/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,805,2,No info,14960,15,23.0,9,50
1213,Air India,21/05/2019,Delhi,Cochin,DEL → MAA → COK,765,1,No info,7480,25,9.0,20,40
1214,Air Asia,21/05/2019,Kolkata,Banglore,CCU → BLR,150,0,No info,4107,25,22.0,19,55
1215,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,1450,1,No info,11467,45,9.0,9,35
1216,IndiGo,27/04/2019,Delhi,Cochin,DEL → MAA → COK,325,1,No info,5796,25,7.0,2,0
1217,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,1005,1,In-flight meal not included,10262,0,19.0,2,15
1218,Air India,27/06/2019,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,1585,3,No info,11543,40,7.0,5,15
1219,IndiGo,24/04/2019,Delhi,Cochin,DEL → HYD → COK,320,1,No info,5298,10,12.0,6,50
1220,Air Asia,27/04/2019,Delhi,Cochin,DEL → BLR → COK,625,1,No info,6451,10,7.0,20,45
1221,Air India,9/06/2019,Kolkata,Banglore,CCU → BLR,150,0,No info,6245,45,16.0,14,15
1222,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,90,0,In-flight meal not included,2071,5,21.0,19,35
1223,IndiGo,15/05/2019,Kolkata,Banglore,CCU → BLR,165,0,No info,4804,20,12.0,9,35
1224,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,810,1,No info,7005,0,21.0,7,30
1225,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,400,1,No info,12284,25,12.0,5,45
1226,Air India,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,805,1,No info,10203,25,20.0,7,0
1227,IndiGo,27/05/2019,Delhi,Cochin,DEL → HYD → COK,490,1,No info,6938,30,22.0,14,20
1228,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,930,1,No info,13377,30,1.0,10,0
1229,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,600,1,No info,9779,15,19.0,9,15
1230,Air India,15/05/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,4667,55,13.0,11,40
1231,Jet Airways,3/04/2019,Banglore,Delhi,BLR → DEL,180,0,In-flight meal not included,4544,50,22.0,19,50
1232,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,395,1,No info,16079,25,4.0,21,50
1233,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,1640,1,In-flight meal not included,7064,50,19.0,16,30
1234,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,300,1,No info,15554,0,19.0,14,0
1235,SpiceJet,18/05/2019,Chennai,Kolkata,MAA → CCU,135,0,No check-in baggage included,3543,0,12.0,9,45
1236,Air India,18/04/2019,Banglore,Delhi,BLR → DEL,170,0,No info,6121,10,16.0,13,20
1237,IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,425,1,No info,8075,30,15.0,8,25
1238,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,840,1,No info,13377,30,1.0,11,30
1239,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,345,1,No info,14571,50,19.0,14,5
1240,SpiceJet,24/04/2019,Banglore,Delhi,BLR → DEL,160,0,No check-in baggage included,3919,35,8.0,5,55
1241,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,590,1,No info,14231,45,4.0,18,55
1242,IndiGo,15/03/2019,Mumbai,Hyderabad,BOM → HYD,85,0,No info,2754,30,20.0,19,5
1243,Air India,21/05/2019,Delhi,Cochin,DEL → BLR → COK,320,1,No info,8067,0,23.0,17,40
1244,Vistara,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,930,1,No info,8452,40,22.0,7,10
1245,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,1280,1,No info,15025,25,11.0,14,5
1246,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,435,1,No info,26890,10,16.0,8,55
1247,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,350,1,In-flight meal not included,15103,50,18.0,13,0
